Hentestednr;Eiendomsnavn;Plassering;GnrBnrFnrSnr;Gatekode;Gatenavn;Husnummer;Bokstav;Postnummer;Sted;Dunktype;Beskrivelse;StorrelseId;EtikettId;Rutenavn;Rutenummer;X;Y;Startdag;Navn;TypeId;Bil;Frekvens;Remark
"102029";"Hanøytangen 41";"";"";"";"Hanøytangen";"41";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346389";"12611-1";"12611";"6708032";"285722";"1";"";"HPR";"348";"4";"askøy"
"141470";"Hanøytangen 61";"";"";"";"Hanøytangen";"61";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10420479";"12611-1";"12611";"6707956";"285744";"1";"";"HPR";"348";"4";"askøy"
"143614";"Hanøytangen 63";"";"";"";"Hanøytangen";"63";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10240637";"12611-1";"12611";"6707971";"285745";"1";"";"HPR";"348";"4";"askøy"
"117810";"Hanøytangen 77";"";"";"";"Hanøytangen";"77";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"355576";"12611-1";"12611";"6707761";"285731";"1";"";"HPR";"348";"4";"askøy"
"102068";"VARHAUG";"";"";"";"Hanøytangen";"148";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346438";"12611-1";"12611";"6707397";"285226";"1";"";"HPR";"348";"4";"askøy"
"102059";"Hanøytangen 152";"";"";"";"Hanøytangen";"152";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346428";"12611-1";"12611";"6707406";"285239";"1";"";"HPR";"348";"4";"askøy"
"102056";"Hanøytangen 146";"";"";"";"Hanøytangen";"146";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"240";"10265803";"12611-1";"12611";"6707442";"285277";"1";"";"HPR";"348";"4";"askøy"
"102056";"Hanøytangen 146";"";"";"";"Hanøytangen";"146";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10269081";"12611-1";"12611";"6707442";"285277";"1";"";"HPR";"348";"4";"askøy"
"141231";"Hanøytangen 160";"";"";"";"Hanøytangen";"160";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10239004";"12611-1";"12611";"6707416";"285345";"1";"";"HPR";"348";"4";"askøy"
"101854";"Hanøytangen 153";"";"";"";"Hanøytangen";"153";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346099";"12611-1";"12611";"6707483";"285464";"1";"";"HPR";"348";"4";"askøy"
"101970";"Hanøytangen 159";"";"";"";"Hanøytangen";"159";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346299";"12611-1";"12611";"6707483";"285464";"1";"";"HPR";"348";"4";"askøy"
"101890";"Hanøytangen 161";"";"";"";"Hanøytangen";"161";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346143";"12611-1";"12611";"6707483";"285464";"1";"";"HPR";"348";"4";"askøy"
"101982";"Hanøy 415";"";"";"";"Hanøytangen";"157";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346323";"12611-1";"12611";"6707485";"285466";"1";"";"HPR";"348";"4";"askøy"
"101999";"Hanøy 7";"";"";"";"Hanøytangen";"155";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346347";"12611-1";"12611";"6707412";"285524";"1";"";"HPR";"348";"4";"askøy"
"137263";"Hanøytangen 170";"";"";"";"Hanøytangen";"170";"0";"5310";"";"";"Restavfall";"140";"10217811";"12611-1";"12611";"6707623";"285370";"1";"";"HPR";"348";"4";"askøy"
"137264";"Hanøytangen 172";"";"";"";"Hanøytangen";"172";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10217813";"12611-1";"12611";"6707625";"285372";"1";"";"HPR";"348";"4";"askøy"
"101851";"Hanøytangen 181";"";"";"";"Hanøytangen";"181";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346097";"12611-1";"12611";"6707699";"285375";"1";"";"HPR";"348";"4";"askøy"
"101931";"Hanøytangen 191";"";"";"";"Hanøytangen";"191";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346221";"12611-1";"12611";"6707771";"285348";"1";"";"HPR";"348";"4";"askøy"
"101915";"Hanøytangen 195";"";"";"";"Hanøytangen";"195";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346189";"12611-1";"12611";"6707767";"285294";"1";"";"HPR";"348";"4";"askøy"
"101908";"Hanøytangen 203";"";"";"";"Hanøytangen";"203";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10366688";"12611-1";"12611";"6707750";"285259";"1";"";"HPR";"348";"4";"askøy"
